Price,Close,High,Low,Open,Volume,RSI,Upper Band,Lower Band,EMA_20
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,,
Date,,,,,,,,,
2025-03-03,388.489990234375,398.82000732421875,386.1600036621094,398.82000732421875,23007700,,,,388.489990234375
2025-03-04,388.6099853515625,392.5799865722656,381.0,383.3999938964844,29342900,,,,388.50141834077385
2025-03-05,401.0199890136719,401.6700134277344,388.80999755859375,389.3399963378906,23433100,,,,389.69366316676417
2025-03-06,396.8900146484375,402.1499938964844,392.67999267578125,394.2799987792969,23304600,,,,390.3790299745426
2025-03-07,393.30999755859375,394.79998779296875,385.5400085449219,392.32000732421875,22034100,,,,390.6581697444522
2025-03-10,380.1600036621094,386.3999938964844,377.2200012207031,385.8399963378906,32840100,,,,389.65834440327666
2025-03-11,380.45001220703125,386.0,376.9100036621094,379.0,30380200,,,,388.7813603845866
2025-03-12,383.2699890136719,385.2200012207031,378.95001220703125,382.95001220703125,24253600,,,,388.2564678730709
2025-03-13,378.7699890136719,385.32000732421875,377.45001220703125,383.1600036621094,20473000,,,,387.35299369598533
2025-03-14,388.55999755859375,390.2300109863281,379.510009765625,379.7799987792969,19952800,,,,387.4679464448052
